length,digits,hyphens,brand_sim,suspicious_tld,keywords,domain,label
15,0,0,0.4,0,0,shermansnow.com,legit
18,0,0,0.4167,0,0,fresharenahouse.nl,legit
10,0,0,0.3077,0,0,csdd.eu.cc,phishing
15,0,0,0.381,0,0,diknaspadang.id,legit
38,7,3,0.2857,0,0,open-share-6xt6.p-h18h574a.workers.dev,phishing
11,0,0,0.4286,0,0,royalbau.hu,phishing
22,0,0,0.4444,0,0,brianjamestrailers.com,legit
17,2,0,0.4211,1,0,moon33agencys.xyz,legit
11,3,0,0.1538,0,0,cuci100.net,legit
16,0,0,0.4762,0,0,whatkatewore.com,legit
10,1,0,0.2667,0,0,nuebe9.com,legit
9,3,0,0.2857,0,0,7de18.com,legit
20,4,0,0.1818,0,0,a783f8.icefactory.cl,phishing
13,0,0,0.3333,0,0,chunkbase.com,legit
12,0,0,0.2857,0,0,kavirmag.com,legit
22,0,1,0.2963,0,0,austria-architects.com,legit
10,0,0,0.2667,0,0,shnccc.com,legit
9,0,1,0.2,0,0,ln-cc.com,legit
13,0,0,0.4286,0,0,eulawlive.com,legit
14,0,1,0.0,0,0,www.i-candy.uk,phishing
12,0,0,0.375,0,0,embryolab.eu,legit
11,0,0,0.2857,0,0,jshem.or.jp,legit
7,0,0,0.3077,0,0,mess.be,legit
7,0,0,0.2,0,0,kkcg.cz,legit
9,4,0,0.0,0,0,78h27.com,legit
15,0,0,0.375,0,0,coralthemes.com,legit
8,0,0,0.3077,0,0,teia.art,legit
13,0,0,0.5333,0,0,investran.com,legit
15,0,0,0.375,0,0,holmesplace.com,legit
28,0,3,0.3333,0,0,doc-desktop--ledgr.pages.dev,phishing
13,0,0,0.5333,0,0,calyxpath.com,legit
13,0,0,0.4286,0,0,baimpulau.com,legit
13,0,0,0.4286,0,0,graveto.store,legit
21,0,3,0.32,0,0,sugar-rush-gr-demo.gr,legit
29,1,0,0.25,0,0,s1._domainkey.gobbledygook.uk,phishing
11,0,0,0.4615,0,0,tagalys.com,legit
10,0,0,0.4615,0,0,livedns.my,legit
10,0,0,0.4286,0,0,telemag.ru,legit
18,0,1,0.3333,0,0,condoom-anoniem.nl,legit
16,0,0,0.3333,0,0,cloudpassage.com,legit
12,0,0,0.3333,0,0,spreekuur.nl,legit
7,0,0,0.2,0,0,tywx.la,legit
9,0,0,0.5333,0,0,costco.mx,legit
22,0,0,0.3704,0,0,tauretcomputadores.com,legit
19,0,0,0.5,0,0,camelbackresort.com,legit
7,0,0,0.3077,0,0,chef.ru,legit
12,0,0,0.3333,0,0,jtexpress.co,legit
12,0,0,0.5333,0,0,avenirco.com,legit
